Character,Gender,speaking_turns,Total_Words,radius,diameter,Movie,Color
Bailey,male,66,510,22.58317958,45.16635916,Finding Dory,#1f77b4
Bill,male,2,32,5.656854249,11.3137085,Finding Dory,#1f77b4
Bloat,male,1,2,1.414213562,2.828427125,Finding Dory,#1f77b4
Carol,female,2,19,4.358898944,8.717797887,Finding Dory,#e377c2
Charlie,male,58,377,19.41648784,38.83297568,Finding Dory,#1f77b4
Crush,male,7,64,8,16,Finding Dory,#1f77b4
Deb,female,1,5,2.236067977,4.472135955,Finding Dory,#e377c2
Destiny,female,84,497,22.29349681,44.58699362,Finding Dory,#e377c2
Dory,female,399,4210,64.88451279,129.7690256,Finding Dory,#e377c2
Female Aquarist,female,3,19,4.358898944,8.717797887,Finding Dory,#e377c2
Female Aquarist 2,female,1,11,3.31662479,6.633249581,Finding Dory,#e377c2
Female Blue Tang,female,4,29,5.385164807,10.77032961,Finding Dory,#e377c2
Female Blue Tang 2,female,1,4,2,4,Finding Dory,#e377c2
Female Crab,female,7,69,8.306623863,16.61324773,Finding Dory,#e377c2
Female Driver,female,5,30,5.477225575,10.95445115,Finding Dory,#e377c2
Female Educator,female,2,35,5.916079783,11.83215957,Finding Dory,#e377c2
Female Fish,female,2,14,3.741657387,7.483314774,Finding Dory,#e377c2
Female Fish 2,female,1,5,2.236067977,4.472135955,Finding Dory,#e377c2
Female Otter Trainer,female,2,17,4.123105626,8.246211251,Finding Dory,#e377c2
Female Worker,female,2,12,3.464101615,6.92820323,Finding Dory,#e377c2
Female Yellow Fish,female,1,4,2,4,Finding Dory,#e377c2
Fluke,male,34,262,16.18641406,32.37282811,Finding Dory,#1f77b4
Gerald,male,3,3,1.732050808,3.464101615,Finding Dory,#1f77b4
Giant Clam,male,6,95,9.746794345,19.49358869,Finding Dory,#1f77b4
Gil,male,4,36,6,12,Finding Dory,#1f77b4
Gurgle,male,1,6,2.449489743,4.898979486,Finding Dory,#1f77b4
Hank,male,119,1131,33.63034344,67.26068688,Finding Dory,#1f77b4
Jacques,male,1,1,1,2,Finding Dory,#1f77b4
Jenny,female,55,410,20.24845673,40.49691346,Finding Dory,#e377c2
Kathy,female,5,31,5.567764363,11.13552873,Finding Dory,#e377c2
Male Aquarist,male,1,4,2,4,Finding Dory,#1f77b4
Male Aquarist 2,male,2,10,3.16227766,6.32455532,Finding Dory,#1f77b4
Male Blue Tang,male,1,8,2.828427125,5.656854249,Finding Dory,#1f77b4
Male Blue Tang 2,male,2,28,5.291502622,10.58300524,Finding Dory,#1f77b4
Male Worker,male,2,21,4.582575695,9.16515139,Finding Dory,#1f77b4
Male Yellow Fish,male,1,3,1.732050808,3.464101615,Finding Dory,#1f77b4
Male Yellow Fish 2,male,1,1,1,2,Finding Dory,#1f77b4
Marlin,male,162,1612,40.1497198,80.2994396,Finding Dory,#1f77b4
Mr. Ray,male,23,211,14.52583905,29.05167809,Finding Dory,#1f77b4
Nemo,male,72,388,19.6977156,39.39543121,Finding Dory,#1f77b4
Peach,male,1,4,2,4,Finding Dory,#1f77b4
Rudder,male,25,123,11.09053651,22.18107301,Finding Dory,#1f77b4
Sea Cucumber,male,3,3,1.732050808,3.464101615,Finding Dory,#1f77b4
Sea Cucumber 2,male,1,4,2,4,Finding Dory,#1f77b4
Sick Fish,male,2,6,2.449489743,4.898979486,Finding Dory,#1f77b4
Sigourney Weaver,female,13,124,11.13552873,22.27105745,Finding Dory,#e377c2
Squirt,male,2,15,3.872983346,7.745966692,Finding Dory,#1f77b4
Stan,male,18,82,9.055385138,18.11077028,Finding Dory,#1f77b4
Wife Fish,female,19,108,10.39230485,20.78460969,Finding Dory,#e377c2
Woman 1,female,1,14,3.741657387,7.483314774,Finding Dory,#e377c2
