Character,Gender,speaking_turns,Total_Words,radius,diameter,Movie,Color
Abernathy,male,7,56,7.483314774,14.96662955,Fantastic Beasts,#1f77b4
Auror 1,male,1,2,1.414213562,2.828427125,Fantastic Beasts,#1f77b4
Auror 2,male,1,1,1,2,Fantastic Beasts,#1f77b4
Awards Announcer,male,1,42,6.480740698,12.9614814,Fantastic Beasts,#1f77b4
Bank Employee,male,1,5,2.236067977,4.472135955,Fantastic Beasts,#1f77b4
Barker,male,2,16,4,8,Fantastic Beasts,#1f77b4
Bartender,male,3,12,3.464101615,6.92820323,Fantastic Beasts,#1f77b4
Bernadette,female,2,12,3.464101615,6.92820323,Fantastic Beasts,#e377c2
Bingley,male,8,57,7.549834435,15.09966887,Fantastic Beasts,#1f77b4
Bingley's Assistant,female,1,8,2.828427125,5.656854249,Fantastic Beasts,#e377c2
Boy,male,1,6,2.449489743,4.898979486,Fantastic Beasts,#1f77b4
Chastity Barebone,female,2,17,4.123105626,8.246211251,Fantastic Beasts,#e377c2
Credence Barebone,male,16,121,11,22,Fantastic Beasts,#1f77b4
Customs Agent,male,6,23,4.795831523,9.591663047,Fantastic Beasts,#1f77b4
Executioner 1,female,1,9,3,6,Fantastic Beasts,#e377c2
Gnarlak,male,8,110,10.48808848,20.97617696,Fantastic Beasts,#1f77b4
Grindelwald,male,2,13,3.605551275,7.211102551,Fantastic Beasts,#1f77b4
Heinrich Eberstadt,male,1,18,4.242640687,8.485281374,Fantastic Beasts,#1f77b4
Henry Shaw Jr.,male,5,74,8.602325267,17.20465053,Fantastic Beasts,#1f77b4
Henry Shaw Sr.,male,9,87,9.327379053,18.65475811,Fantastic Beasts,#1f77b4
Jacob Kowalski,male,91,737,27.14774392,54.29548784,Fantastic Beasts,#1f77b4
Langdon Shaw,male,11,139,11.78982612,23.57965225,Fantastic Beasts,#1f77b4
Madam Ya Zhou,female,1,10,3.16227766,6.32455532,Fantastic Beasts,#e377c2
Man,male,1,2,1.414213562,2.828427125,Fantastic Beasts,#1f77b4
Man 2,male,1,2,1.414213562,2.828427125,Fantastic Beasts,#1f77b4
Man from Apartment,male,1,15,3.872983346,7.745966692,Fantastic Beasts,#1f77b4
Mary Lou Barebone,female,16,213,14.59451952,29.18903904,Fantastic Beasts,#e377c2
Minister,male,3,22,4.69041576,9.38083152,Fantastic Beasts,#1f77b4
Modesty Barebone,female,6,115,10.72380529,21.44761059,Fantastic Beasts,#e377c2
Momolou Wotorson,male,1,5,2.236067977,4.472135955,Fantastic Beasts,#1f77b4
Mrs. Esposito,female,2,6,2.449489743,4.898979486,Fantastic Beasts,#e377c2
Mrs. Goldstein,female,2,10,3.16227766,6.32455532,Fantastic Beasts,#e377c2
Newt Scamander,male,175,2037,45.13313639,90.26627277,Fantastic Beasts,#1f77b4
Percival Graves,male,42,673,25.94224354,51.88448708,Fantastic Beasts,#1f77b4
Police Officer,male,2,17,4.123105626,8.246211251,Fantastic Beasts,#1f77b4
Police Officer 2,male,1,2,1.414213562,2.828427125,Fantastic Beasts,#1f77b4
Police Officer 3,male,1,5,2.236067977,4.472135955,Fantastic Beasts,#1f77b4
Queenie Goldstein,female,43,403,20.0748599,40.1497198,Fantastic Beasts,#e377c2
Red,male,2,6,2.449489743,4.898979486,Fantastic Beasts,#1f77b4
Reporter,male,3,12,3.464101615,6.92820323,Fantastic Beasts,#1f77b4
Reporter 2,male,3,22,4.69041576,9.38083152,Fantastic Beasts,#1f77b4
Sam,male,3,7,2.645751311,5.291502622,Fantastic Beasts,#1f77b4
Seraphina Picquery,female,21,303,17.40689519,34.81379037,Fantastic Beasts,#e377c2
Shopping Woman,female,1,9,3,6,Fantastic Beasts,#e377c2
Tina Goldstein,female,106,930,30.49590136,60.99180273,Fantastic Beasts,#e377c2
Witness,male,2,48,6.92820323,13.85640646,Fantastic Beasts,#1f77b4
Woman,female,1,3,1.732050808,3.464101615,Fantastic Beasts,#e377c2
Woman 2,female,1,1,1,2,Fantastic Beasts,#e377c2
Woman from Apartment,female,1,19,4.358898944,8.717797887,Fantastic Beasts,#e377c2
